N,x,h1,h2,h3,h4,h5
125, 324.982483, 124.070503, 120.190269, 107.385490, 121.160324, 129.987854
126, 327.582367, 122.033379, 118.929192, 110.683693, 121.645355, 129.987854
127, 330.182220, 121.451347, 119.608231, 114.369919, 122.033379, 130.181870
128, 332.782074, 122.227394, 121.839371, 117.571114, 122.130386, 129.308823
129, 335.381927, 121.257332, 122.324394, 119.802246, 122.712418, 129.017807
130, 337.981781, 119.705238, 120.190269, 121.839371, 123.391464, 128.532776
131, 340.581665, 118.347160, 117.959137, 123.100441, 125.234573, 128.532776
132, 343.181519, 119.026199, 116.601051, 123.100441, 126.592659, 128.726791
133, 345.781372, 120.966316, 116.601051, 121.936371, 127.077682, 128.629776
134, 348.381226, 122.518410, 116.407043, 120.578293, 125.525589, 129.017807
135, 350.981079, 123.391464, 116.310036, 119.899254, 124.458527, 129.114807
136, 353.580963, 123.294456, 116.310036, 120.287277, 124.361519, 130.763901
137, 356.180817, 123.488464, 116.601051, 121.548347, 125.719604, 132.413010
138, 358.780670, 123.876488, 117.377098, 124.167511, 126.786667, 134.159119
139, 361.380524, 124.749542, 118.153145, 128.047745, 128.241760, 134.644150
140, 363.980408, 125.040565, 119.317215, 131.345947, 129.696838, 135.420197
141, 366.580261, 124.555534, 120.578293, 131.830978, 131.539948, 137.457306
142, 369.180115, 123.585472, 121.839371, 129.017807, 132.898041, 140.658508
143, 371.779968, 122.809425, 123.197449, 126.107628, 133.286057, 141.531555
144, 374.379822, 123.391464, 124.652542, 125.040565, 133.189056, 139.203415
145, 376.979706, 124.458527, 126.107628, 126.301636, 132.898041, 134.450134
146, 379.579559, 126.204636, 128.047745, 128.629776, 132.121994, 130.375885
147, 382.179413, 127.853729, 129.502838, 129.696838, 130.569901, 127.174690
148, 384.779266, 129.696838, 131.151932, 130.763901, 128.435760, 124.458527
149, 387.379120, 130.957916, 131.830978, 131.054932, 127.756729, 122.227394
150, 389.979004, 131.054932, 132.121994, 131.151932, 128.338760, 120.675301
151, 392.578857, 130.375885, 131.927979, 128.435760, 129.599838, 120.190269
152, 395.178711, 129.696838, 132.607025, 124.943558, 130.181870, 120.287277
153, 397.778564, 129.211807, 133.868103, 122.615417, 130.181870, 120.869308
154, 400.378418, 128.435760, 135.420197, 123.003441, 129.211807, 121.645355
155, 402.978302, 127.465706, 135.226181, 124.264519, 127.465706, 122.130386
156, 405.578156, 126.689659, 134.741150, 125.040565, 125.525589, 122.130386
157, 408.178009, 126.107628, 134.159119, 125.137566, 123.973495, 121.548347
158, 410.777863, 125.622597, 134.838150, 125.137566, 122.906433, 120.966316
159, 413.377747, 125.040565, 134.256119, 125.234573, 122.130386, 120.772301
